block_number,timestamp,pool_units,balance_rune,balance_asset
188750,1599129295,166000000000,190525952702,141300000000
189375,1599132746,166000000000,190526836157,141300000000
190000,1599136203,166000000000,184024170061,146300000000
190625,1599139651,166000000000,189088982938,142475396601
191250,1599143099,166000000000,196865889114,136859358056
191875,1599146546,166000000000,196866530745,136859358056
192500,1599149993,166000000000,196867200997,136859358056
193125,1599153440,166000000000,196867963819,136859358056
193750,1599156889,166000000000,196868531008,136859358056
194375,1599160339,166000000000,196868966146,136859358056
195000,1599163788,166000000000,196869541866,136859358056
195625,1599167235,166000000000,196870185091,136859358056
196250,1599170685,166000000000,196870731536,136859358056
196875,1599174133,166000000000,196871256358,136859358056
197500,1599177581,166000000000,196872064043,136859358056
198125,1599181028,166000000000,196873159546,136859358056
198750,1599184475,166000000000,196874244031,136859358056
199375,1599187926,166000000000,196875910180,136859358056
200000,1599191375,166000000000,196877897222,136859358056
200625,1599194822,166000000000,196879857735,136859358056
201250,1599198270,166000000000,196881625228,136859358056
201875,1599201718,166000000000,196883395742,136859358056
202500,1599205166,166000000000,196885099825,136859358056
203125,1599208616,176585487560,211272324166,144216826452
203750,1599212063,176585487560,211273183837,144216826452
204375,1599215512,176585487560,211274258417,144216826452
205000,1599218972,184786782564,221668926723,150536826452
205625,1599222458,184786782564,221670542823,150536826452
206250,1599225940,184786782564,221672012576,150536826452
206875,1599229425,184786782564,221673402793,150536826452
207500,1599232903,184786782564,221675284077,150536826452
208125,1599236381,184786782564,221677312430,150536826452
208750,1599239861,184786782564,221679248600,150536826452
209375,1599243348,184786782564,215947788624,154536826452
210000,1599246838,379716213068,443190034854,317154632242
210625,1599250338,739995923898,862991805957,617857190592
211250,1599253829,739995923898,862393135974,618287008315
211875,1599257318,739995923898,862394455438,618287008315
212500,1599260802,739995923898,862395801063,618287008315
213125,1599264283,739995923898,862397146688,618287008315
213750,1599267763,739995923898,862398492313,618287008315
214375,1599271245,739995923898,862399837938,618287008315
215000,1599274726,739995923898,862401183563,618287008315
215625,1599278207,739995923898,862402528565,618287008315
216250,1599281686,739995923898,862403873565,618287008315
216875,1599285166,739995923898,862405218565,618287008315
217500,1599288649,739995923898,862406563565,618287008315
218125,1599292131,739995923898,862407908374,618287008315
218750,1599295671,739995923898,862409252749,618287008315
219375,1599299185,739995923898,862410597124,618287008315
220000,1599302693,739995923898,862411941499,618287008315
220625,1599306192,739995923898,862413285874,618287008315
221250,1599309685,739995923898,862414630046,618287008315
221875,1599313176,739995923898,862415973796,618287008315
222500,1599316672,739995923898,862417317546,618287008315
223125,1599320178,739995923898,862418653671,618287008315
223750,1599323677,739995923898,862419917271,618287008315
224375,1599327172,739995923898,862421182896,618287008315
225000,1599330656,739995923898,862422448521,618287008315
225625,1599334139,739995923898,862423721247,618287008315
226250,1599337637,739995923898,862424964372,618287008315
226875,1599341132,739995923898,862426197382,618287008315
227500,1599344623,739995923898,862427419257,618287008315
228125,1599348114,739995923898,862428640879,618287008315
228750,1599351606,739995923898,862429862129,618287008315
229375,1599355097,739995923898,862431083379,618287008315
230000,1599358588,739995923898,862432304629,618287008315
230625,1599362079,739995923898,862433754458,618287008315
231250,1599365586,739995923898,862445964156,618287008315
231875,1599369094,739995923898,862458172644,618287008315
232500,1599372607,739995923898,862470379932,618287008315
233125,1599376116,599423263281,698539666736,500906359621
233750,1599379620,599423263281,698547695667,500906359621
234375,1599383123,599423263281,698555755579,500906359621
235000,1599386617,599423263281,680694755955,514106359621
235625,1599390109,599423263281,680702560392,514106359621
236250,1599393602,599423263281,680710319056,514106359621
236875,1599397095,599423263281,680718003655,514106359621
237500,1599400587,599423263281,680725943272,514106359621
238125,1599404082,599423263281,680733811464,514106359621
238750,1599407574,599423263281,700741756045,514106359621
239375,1599411110,639005789092,795645481276,514179725358
240000,1599414636,647279974752,743720350218,564179725358
240625,1599418136,647279974752,706176106697,594174630893
241250,1599421641,647279974752,706176106709,594174630893
241875,1599425140,647279974752,706176106709,594174630893
242500,1599428633,647279974752,706176108293,594174630893
243125,1599432132,647279974752,706178985392,594174630893
243750,1599435632,647279974752,706179542399,594174630893
244375,1599439131,647279974752,706180093558,594174630893
245000,1599442628,647279974752,706180702151,594174630893
245625,1599446117,647279974752,689951315859,608159230893
246250,1599449604,647279974752,689952707268,608159230893
246875,1599453091,647279974752,689954010165,608159230893
247500,1599456580,647279974752,989955416702,608159230893
248125,1599460067,647279974752,901133220210,668159230893
248750,1599463555,1835906872221,2237904367271,1705637197285
249375,1599467055,2006913557191,2442722672055,1845837197285
250000,1599470538,2006913557191,2442783664056,1845837197285
250625,1599474019,2006913557191,2429704699763,1855837197285
251250,1599477507,2006913557191,2374864770907,1898837197285
251875,1599481009,2006913557191,2374940986502,1898837197285
252500,1599484515,2006913557191,2336256092268,1930447197285
253125,1599488025,2006913557191,2324413100248,1940367197285
253750,1599491526,2006913557191,2283674527774,1975167197285
254375,1599495027,2006913557191,2263338731212,1993037197285
255000,1599498530,2006913557191,2263411127413,1993037197285
255625,1599502030,2006913557191,2263490843799,1993037197285
256250,1599505535,2006913557191,2263598003066,1993037197285
256875,1599509037,2006913557191,2263711540581,1993037197285
257500,1599512538,2006913557191,2263823921417,1993037197285
258125,1599516039,2006913557191,2263935411452,1993037197285
258750,1599519532,2006913557191,2264051617191,1993037197285
259375,1599523026,2006913557191,2264165641143,1993037197285
260000,1599526517,2006913557191,2264280492121,1993037197285
260625,1599530010,2006913557191,2253127260192,2003037197285
261250,1599533501,2006913557191,2253241185562,2003037197285
261875,1599536990,2006913557191,2253355496214,2003037197285
262500,1599540479,2006913557191,2253470043712,2003037197285
263125,1599543971,1998639371531,2235113555229,2003036879676
263750,1599547463,1998639371531,2235328052791,2003036879676
264375,1599550957,1998639371531,2495991585622,2043036879676
265000,1599554453,1998639371531,2425313824597,2103036879676
265625,1599557943,1998639371531,2425548952358,2103036879676
266250,1599561438,1998639371531,2409413185509,2117386879676
266875,1599564936,1998639371531,2409642147530,2117386879676
267500,1599568429,1998639371531,2356566980010,2165587727676
268125,1599571941,6741909524854,7363720977207,6645735020948
268750,1599575443,6842286439803,7458430248295,6750948480295
269375,1599578950,6842286439803,7458699581449,6750948480295
270000,1599582437,6842286439803,7458957600853,6750948480295
270625,1599585921,6842286439803,7459224110534,6750948480295
271250,1599589404,6842286439803,7467832586692,6743412738028
271875,1599592887,6842286439803,7468098477849,6743412738028
272500,1599596369,6842286439803,7466056953461,6745502738028
273125,1599599851,6842286439803,7466323200205,6745502738028
273750,1599603334,6842286439803,7466591798335,6745502738028
274375,1599606817,6842286439803,7466851759420,6745502738028
275000,1599610298,6842286439803,7467117320505,6745502738028
275625,1599613778,6842286439803,7467386271588,6745502738028
276250,1599617260,6842286439803,7586847867997,6639713450582
276875,1599620742,6842286439803,7769522618140,6484247497674
277500,1599624226,6842286439803,7769790466089,6484247497674
278125,1599627707,6842286439803,7727938795487,6519635958384
278750,1599631190,6842286439803,7604116238080,6626138386384
279375,1599634671,6842286439803,7604391631008,6626138386384
280000,1599638153,6842286439803,7604663002601,6626138386384
280625,1599641634,6842286439803,7679442455367,6561950499210
281250,1599645117,6842286439803,7679713478421,6561950499210
281875,1599648599,6842286439803,7609210611214,6623050347210
282500,1599652082,6842286439803,7592302373720,6638050347210
283125,1599655565,6842286439803,7592569731221,6638050347210
283750,1599659045,6842286439803,7692170455545,6552489458648
284375,1599662535,6842286439803,7692430673263,6552489458648
285000,1599666024,6842286439803,7617154860607,6617566458648
285625,1599669531,7951803452375,8900890246620,7567431837500
286250,1599673041,7951803452375,8871402045059,7592831837500
286875,1599676536,7951803452375,8831699442414,7627231837500
287500,1599680044,7951803452375,8810738254323,7645631837500
