block_number,timestamp,pool_units,balance_rune,balance_asset
67500,1598452010,643472118550,997791807964,40409887500
68125,1598455511,2658719768239,4860094610193,200318241885
68750,1598459010,2658719768239,4860096429809,200318166886
69375,1598462531,2658745798640,4860200753664,200318091886
70000,1598466043,2658745798640,4860210606723,200317941886
70625,1598469558,2658745798640,4860230468417,200317379386
71250,1598473072,2658745798640,4860236683681,200317379386
71875,1598476557,2658745798640,4860256350768,200317229386
72500,1598480045,2658745798640,4860276564045,200317079386
73125,1598483528,2658745798640,4860296781290,200316929386
73750,1598487009,2658745798640,4860323319398,200316854386
74375,1598490489,2658745798640,4860360108229,200316704386
75000,1598493968,2658745798640,4860400533221,200316404386
75625,1598497447,2658745798640,4860436951323,200316269386
76250,1598500886,2658849927846,4861072789511,200307917541
76875,1598504326,2658849927846,4861109568699,200307767541
77500,1598507765,2658849927846,4861148166164,200307542541
78125,1598511205,2658849927846,4861475079913,200307430041
78750,1598514644,2658849927846,4861973095337,200307317541
79375,1598518083,2658849927846,4862475621081,200307017541
80000,1598521523,2658849927846,4862972638205,200306942541
80625,1598524966,2658849927846,4863469606276,200306867541
81250,1598528410,2658849927846,4863968346383,200306717541
81875,1598531853,2658849927846,4864467037585,200306567541
82500,1598535299,2678807988081,4903299455994,201885088632
83125,1598538742,2679328575028,4917956988758,201386522071
83750,1598542188,2679328575028,4918451894477,201386522071
84375,1598545632,2679328575028,4918946751185,201386522071
85000,1598549073,2679328575028,4919441558890,201386522071
85625,1598552518,2679340285546,4919981318817,201386522071
86250,1598555959,2704232000793,4995336234956,202244117007
86875,1598559402,2704232000793,4995830918147,202244117007
87500,1598562846,2704232000793,4995585578767,202274079507
88125,1598566291,2704232000793,5095394836463,198351333812
88750,1598569735,2704232000793,5095889368244,198351333812
89375,1598573205,2704232000793,5096383851054,198351333812
90000,1598576649,2704232000793,5096878284893,198351333812
90625,1598580092,2704232000793,5097372669777,198351333812
91250,1598583535,2704232000793,5097867010918,198351333812
91875,1598586977,2704232000793,5098361312748,198351333812
92500,1598590419,2704232000793,5098855565635,198351333812
93125,1598593860,2704232000793,5099349769575,198351333812
93750,1598597305,2704232000793,5099843924578,198351333812
94375,1598600750,2704232000793,5100339959259,198351258812
95000,1598604194,2704232000793,5102929525787,198269820165
95625,1598607639,2704232000793,5103423553473,198269820165
96250,1598611085,2704232000793,5103917532241,198269820165
96875,1598614550,2704232000793,5104411467157,198269820165
97500,1598617999,2704232000793,5104905358003,198269820165
98125,1598621462,2704232000793,5105399199943,198269820165
98750,1598624914,2704232000793,5105892992981,198269820165
99375,1598628368,2704232000793,5106286738040,198273702998
100000,1598631814,2704232000793,5107080394226,198262058986
100625,1598635260,2704232000793,5106678164465,198296849792
101250,1598638707,2704232000793,5105856303952,198347974458
101875,1598642155,2704232000793,5106532211443,198340923338
102500,1598645601,2704232000793,5106925932747,198344807389
103125,1598649046,2704232000793,5108930318677,198286165810
103750,1598652490,2704232000793,5109430710717,198285903310
104375,1598655936,2704232000793,5109924290223,198285903310
105000,1598659381,2704232000793,5110417820874,198285903310
105625,1598662826,2704232000793,5110911302632,198285903310
106250,1598666271,2704232000793,5108633064409,198393516544
106875,1598669715,2704232000793,5109126468042,198393516544
107500,1598673160,2704232000793,5109619822847,198393516544
108125,1598676604,2704232000793,5110113128803,198393516544
108750,1598680050,2704232000793,5110606385873,198393516544
109375,1598683498,2704232000793,5111301519647,198385679117
110000,1598686951,2704232000793,5112404139143,198362029458
110625,1598690440,2704232000793,5112900177997,198361916958
111250,1598693931,2704232000793,5113399068201,198361691958
111875,1598697422,2704232000793,5113902743101,198361279458
112500,1598700913,2704232000793,5131341148569,197707302888
113125,1598704401,2704232000793,5131834095561,197707302888
113750,1598707895,2704232000793,5132326993725,197707302888
114375,1598711387,2704232000793,5132819843125,197707302888
115000,1598714877,2704232000793,5133334125917,197706477888
115625,1598718366,2704232000793,5133831869239,197706290388
116250,1598721856,2704232000793,5154413017946,196937104046
116875,1598725346,2704232000793,5154905881266,196937104046
117500,1598728835,2704232000793,5155399677553,196937066546
118125,1598732324,2704232000793,5156692041931,196906532875
118750,1598735815,2704232000793,5169570701249,196435313881
119375,1598739304,2704232000793,5120376181845,198350860520
120000,1598742792,2704232000793,5098863491061,199208823020
120625,1598746281,2704232000793,5139327778235,197662490043
121250,1598749772,2704232000793,5139820340383,197662490043
121875,1598753260,2704232000793,5140312853769,197662490043
122500,1598756748,2704232000793,5140805318377,197662490043
123125,1598760237,2704232000793,5141297734217,197662490043
123750,1598763726,2704232000793,5141790101298,197662490043
124375,1598767216,2704232000793,5142282419625,197662490043
125000,1598770705,2704232000793,5058805391993,200954756732
125625,1598774197,2704232000793,4945033192838,205615799232
126250,1598777691,2704232000793,4946020253682,205615686732
126875,1598781184,2704232000793,4905777620361,207351036732
127500,1598784678,2704232000793,4896541727931,207784808732
128125,1598788170,2704232000793,4917426715844,206947234225
128750,1598791663,2704232000793,4918410719089,206947234225
129375,1598795160,2704232000793,4838415424532,210448792821
130000,1598798653,2704232000793,4591752521717,221898722821
130625,1598802147,2756547264449,4792732190778,221898722821
131250,1598805640,2756547264449,4793711823506,221898722821
131875,1598809132,2756547264449,4794691360053,221898722821
132500,1598812625,2783149420893,4896670876766,221934708848
133125,1598816119,2784037597813,4884302276871,222697210284
133750,1598819614,2784037597813,4803687301261,226492478284
134375,1598823106,2784037597813,4774033200530,227949180784
135000,1598826600,2786788944859,4785517343199,227949180784
135625,1598830093,2789540017285,4776774787171,228918558464
136250,1598833587,2789540017285,4792721861877,228205831507
136875,1598837078,2789540017285,4793700749004,228205831507
137500,1598840572,2789540017285,4794679540031,228205831507
138125,1598844065,2789540017285,4795658234965,228205831507
