block_number,timestamp,pool_units,balance_rune,balance_asset
350000,1600031715,1162669101088,2306809943848,173080094
350625,1600035258,1162669101088,2449781616409,163118379
351250,1600038803,1162669101088,2464912653635,162138306
351875,1600042343,1162669101088,2465162821988,162138306
352500,1600045883,1162669101088,2465411002647,162138306
353125,1600049437,1162669101088,2465661269932,162138306
353750,1600052985,1162669101088,2465912893758,162138306
354375,1600056531,1162669101088,2466167306646,162138306
355000,1600060077,1162669101088,2466423938023,162138306
355625,1600063631,1044307724154,2171141496645,148644933
356250,1600067179,1044307724154,2186247898650,147638851
356875,1600070726,1044307724154,2186478495107,147638851
357500,1600074279,1044307724154,2223530846061,145216968
358125,1600077837,1044307724154,2223748812892,145216968
358750,1600081387,1044307724154,2223978921468,145216968
359375,1600084942,1044307724154,2224201521270,145216968
360000,1600088494,1044307724154,2224427843356,145216968
360625,1600092049,1044307724154,2239515937883,144257333
361250,1600095629,1044307724154,2269428354640,142375610
361875,1600099199,1044307724154,2284506451530,141453100
362500,1600102764,1044307724154,2298496102912,140609597
363125,1600106346,1044307724154,2298714880516,140609597
363750,1600109907,1044307724154,2298930297555,140609597
364375,1600113463,1044307724154,2299154066068,140609597
365000,1600117019,1044307724154,2299373415235,140609597
365625,1600120589,1044307724154,2299581325145,140609597
366250,1600124147,1044307724154,2299803585876,140609597
366875,1600127700,1044307724154,2300031819690,140609597
367500,1600131248,1044307724154,2300264612056,140609597
368125,1600134842,1044307724154,2300497334306,140609597
368750,1600138555,1044307724154,2300729573225,140609597
369375,1600142271,1044307724154,2300964372130,140609597
370000,1600145988,1044307724154,2301185366129,140609597
370625,1600149627,1044307724154,2301419574535,140609597
371250,1600153194,2044781203494,4374861212337,257598740
371875,1600156777,2063443225510,4427400160647,258910140
372500,1600160347,2066171315345,4426763931494,259610128
373125,1600163946,2312720063592,4929101520687,289609838
373750,1600167527,2905783393570,5996576704278,355391927
374375,1600171083,2905783393570,6026647282657,353638962
375000,1600174636,2905783393570,6035011612436,353166461
375625,1600178207,2905783393570,6106775925691,349043140
376250,1600181771,2905783393570,6122688481062,348153260
376875,1600185330,2905783393570,6122988267694,348153260
377500,1600188890,2905783393570,6123396540287,348153260
378125,1600192449,2905783393570,6117324406110,348524089
378750,1600196025,2905783393570,6207283111416,343512508
379375,1600199583,2905783393570,6352993730034,335682965
380000,1600203146,2905783393570,6381421918602,334216496
380625,1600206698,2905783393570,6381902758852,334216496
381250,1600210245,2905783393570,6382381361141,334216496
381875,1600213795,2905783393570,6382871836424,334216496
382500,1600217355,2905783393570,6331358474521,336968694
383125,1600220901,2905783393570,6331839005075,336968694
383750,1600224454,2905783393570,6347219881987,336179524
384375,1600228005,2905783393570,6362604901886,335394111
385000,1600231577,2905783393570,6404284265772,333336854
385625,1600235143,2905783393570,6292256472787,339367035
386250,1600238710,2905783393570,6292730624407,339367035
386875,1600242289,2905783393570,6165702666523,346460785
387500,1600245856,2905783393570,6166200075886,346460785
388125,1600249419,2905783393570,6166713141371,346460785
388750,1600252973,2905783393570,6167223943231,346460785
389375,1600256527,2905783393570,6167735517927,346460785
390000,1600260078,2905783393570,6168258209487,346460785
390625,1600263634,2905783393570,6168773824605,346460785
391250,1600267197,2905783393570,6308571343628,338838082
391875,1600270756,2905783393570,6420999849927,332951623
392500,1600274308,2905783393570,6432182233506,332409636
393125,1600277895,2905783393570,6473681355174,330311455
393750,1600281479,2905783393570,6474216891884,330311455
394375,1600285078,2905783393570,6362405525846,336214731
395000,1600288655,2905783393570,6362919721964,336214731
395625,1600292217,2905783393570,6363456995413,336214731
396250,1600295775,2905783393570,6364001482280,336214731
396875,1600299343,2905783393570,6371688613923,335838426
397500,1600302906,2905783393570,6372230470485,335838426
398125,1600306469,2905783393570,6355084884247,336777087
398750,1600310043,2905783393570,6355603243267,336777087
399375,1600313602,2905783393570,6356151676071,336777087
400000,1600317171,2905783393570,6356694797565,336777087
400625,1600320738,2905783393570,6357226041447,336777087
401250,1600324312,2905783393570,6294159358001,340202919
401875,1600327879,2905783393570,6462203964696,331422737
402500,1600331451,2905783393570,6484418889063,330317369
403125,1600335025,2905783393570,6683119228398,320549653
403750,1600338594,2905783393570,6683649973212,320549653
404375,1600342168,2905783393570,6660194806803,321707999
405000,1600345756,2905783393570,6735637000702,318139620
405625,1600349384,2905783393570,6847946023098,312970850
406250,1600352984,2905783393570,6903209934244,310497408
406875,1600356598,2905783393570,6903798796759,310497408
407500,1600360207,2902131269016,6887084076940,310497408
408125,1600363822,2902131269016,6941074026488,308120996
408750,1600367439,2902131269016,6987117386286,306121054
409375,1600371026,2902131269016,6965092787359,307137814
410000,1600374591,2902131269016,6912462260356,309552651
410625,1600378174,2902131269016,6891655516242,310546401
411250,1600381731,2902131269016,6880519480573,311106590
411875,1600385320,2902131269016,6760114302198,316735154
412500,1600388884,2902131269016,6724366448205,318485403
413125,1600392452,2902131269016,6768203880212,316498416
413750,1600396011,2902131269016,6694898655422,320052663
414375,1600399558,2902131269016,6683810759753,320645669
415000,1600403112,2902131269016,6730068459702,318523034
415625,1600406670,2902131269016,6731282507451,318523034
416250,1600410227,2902131269016,6781223290652,316243921
416875,1600413794,2902131269016,6782331522483,316243921
417500,1600417346,2902131269016,6783528509234,316243921
418125,1600420901,2902131269016,6761035107158,317360437
418750,1600424453,2902131269016,6762262065385,317360437
419375,1600428003,2902131269016,6740178693344,318464525
420000,1600431559,2902131269016,6672679778661,321764769
420625,1600435111,2902131269016,6682340829452,321376455
421250,1600438666,2902131269016,6644715408141,323273060
421875,1600442223,2902131269016,6594461059891,325812810
422500,1600445776,2902131269016,6559679577580,327612609
423125,1600449328,2902131269016,6560967122859,327612609
423750,1600452881,2902131269016,6566122781536,327431273
424375,1600456441,2902131269016,6565195765244,327552330
425000,1600460005,2902131269016,6552862504376,328242462
425625,1600463600,2902131269016,6651459442083,323483405
426250,1600467180,2902131269016,6649151839282,323671180
426875,1600470758,2902131269016,6761042985835,318478291
427500,1600474330,2902131269016,6745373085962,319334962
428125,1600477898,2902131269016,6706229470721,321289572
428750,1600481468,2902131269016,6707519391477,321289572
429375,1600485028,2902131269016,6696836138982,321867394
430000,1600488595,2902131269016,6698137345389,321867394
430625,1600492165,2902131269016,6724484138545,320702760
431250,1600495725,2902131269016,6725781681088,320702760
431875,1600499287,2902131269016,6727060844009,320702760
432500,1600502852,2902131269016,6686727559675,322711661
433125,1600506411,2902131269016,6733658352395,320538237
433750,1600509972,2902131269016,6760639046704,319329047
434375,1600513539,2902131269016,6761950044783,319329047
435000,1600517106,2902131269016,6784628450864,318329587
435625,1600520682,2902131269016,6838607264164,315970507
436250,1600524318,2902131269016,6843874048889,315806671
436875,1600528020,2902131269016,6891206528207,313710130
437500,1600531740,2902131269016,6945694367127,311377652
438125,1600535445,2902131269016,6914662021710,312851344
438750,1600539150,2892130570787,6837194370756,314290345
439375,1600542864,2892130570787,6832218892586,314606795
440000,1600546571,2892130570787,6851951210233,313780441
440625,1600550273,2892130570787,6841607674220,314338460
441250,1600553980,2892130570787,6854582000557,313848891
441875,1600557693,2892130570787,6922311955241,310892971
442500,1600561394,2892130570787,6948326163186,309791715
443125,1600565093,2892130570787,6975334160391,308654412
443750,1600568796,2892130570787,6934509539337,310554771
444375,1600572491,2892130570787,6925304762844,311039107
445000,1600576187,2892130570787,6950820983903,309993197
445625,1600579887,2892130570787,6938841857948,310590199
446250,1600583589,2892130570787,6920388974344,311493184
446875,1600587287,2892130570787,6911491392200,311962685
447500,1600590987,2892130570787,6912789994846,311962685
448125,1600594684,2892130570787,6937374926318,310922894
448750,1600598375,2892130570787,6938699038276,310922894
449375,1600602069,2892130570787,6940020822701,310922894
450000,1600605765,2892130570787,6928213755006,311514302
450625,1600609462,2892130570787,6883271181774,313617362
451250,1600613162,2892130570787,6847567787498,315319344
451875,1600616866,2892130570787,6784151887648,318342140
452500,1600620556,2892130570787,6762267278540,319441007
