block_number,timestamp,pool_units,balance_rune,balance_asset
300000,1599749896,1093224928823,2226085188044,580693230
300625,1599753385,1093224928823,2215291770940,585801492
301250,1599756877,1093224928823,2202669393587,589201062
301875,1599760367,1093224928823,2191412425716,592450701
302500,1599763866,1093224928823,2197926943104,590948070
303125,1599767370,1093224928823,2198081114280,590948070
303750,1599770859,1093224928823,2198237560328,590948070
304375,1599774348,1093224928823,2198394713237,590948070
305000,1599777834,1093224928823,2198554612380,590948070
305625,1599781321,1093224928823,2039106548049,639327112
306250,1599784809,1093224928823,2039249004520,639327112
306875,1599788294,1093224928823,2165786269470,602419651
307500,1599791775,1093224928823,2195474044900,594356147
308125,1599795256,1093224928823,2210857997279,590283374
308750,1599798736,1093224928823,2211018051187,590283374
309375,1599802217,1093224928823,2261436805509,577326073
310000,1599805699,1093224928823,2261601032077,577326073
310625,1599809182,1093224928823,2261759697444,577326073
311250,1599812667,1093224928823,2261921302191,577326073
311875,1599816154,1093224928823,2262084538109,577326073
312500,1599819646,1093224928823,2262249337852,577326073
313125,1599823144,1093224928823,2262402812472,577326073
313750,1599826642,1093224928823,2232909981108,585118130
314375,1599830160,1093224928823,2223507344668,587712073
315000,1599833678,1093224928823,2223667333124,587712073
315625,1599837193,1093224928823,2223827829187,587712073
316250,1599840707,1093224928823,2223988475786,587712073
316875,1599844233,1093224928823,2224147344209,587712073
317500,1599847753,1093224928823,2224307979516,587712073
318125,1599851268,1093224928823,2224464797979,587712073
318750,1599854785,1093224928823,2224623301307,587712073
319375,1599858302,1093224928823,2224777596535,587712073
320000,1599861817,1093224928823,2224933430222,587712073
320625,1599865338,1093224928823,2225082390844,587712073
321250,1599868849,1093224928823,2225238481659,587712073
321875,1599872360,1093224928823,2225395482003,587712073
322500,1599875876,1093224928823,2225550051918,587712073
323125,1599879390,1093224928823,2225704326943,587712073
323750,1599882900,1093224928823,2225862325827,587712073
324375,1599886409,1093224928823,2226023196347,587712073
325000,1599889919,1093224928823,2226179595721,587712073
325625,1599893429,1093224928823,2226339603244,587712073
326250,1599896933,1093224928823,2226498458745,587712073
326875,1599900448,1093224928823,2226704777794,587712073
327500,1599903956,1093224928823,2226942876799,587712073
328125,1599907466,1093224928823,2227183961996,587712073
328750,1599910975,1093224928823,2227426778941,587712073
329375,1599914491,1093224928823,2227666995651,587712073
330000,1599918032,1093224928823,2227904212347,587712073
330625,1599921595,1093224928823,2228135125741,587712073
331250,1599925170,1093224928823,2228363022395,587712073
331875,1599928737,1093224928823,2228606676853,587712073
332500,1599932285,1093224928823,2228848843135,587712073
333125,1599935830,1093224928823,2229088797936,587712073
333750,1599939388,1093224928823,2229318837689,587712073
334375,1599942949,1093224928823,2248909419845,582680712
335000,1599946514,1093224928823,2249143176971,582680712
335625,1599950059,1093224928823,2249384550949,582680712
336250,1599953606,1093224928823,2249627406025,582680712
336875,1599957164,1093224928823,2280601886734,574867790
337500,1599960718,1093224928823,2280844498176,574867790
338125,1599964268,1093224928823,2281099081660,574867790
338750,1599967817,1093224928823,2281342618340,574867790
339375,1599971365,1093224928823,2281589029748,574867790
340000,1599974914,1100692089595,2272506441219,584860790
340625,1599978460,1100692089595,2272748510388,584860790
341250,1599982006,1100692089595,2272984835781,584860790
341875,1599985554,1100692089595,2273220714993,584860790
342500,1599989099,1100692089595,2273459704996,584860790
343125,1599992644,1100692089595,2273700075410,584860790
343750,1599996188,1100692089595,2273945983892,584860790
344375,1599999729,1100692089595,2274193786880,584860790
345000,1600003277,1100692089595,2274434787234,584860790
345625,1600006848,1100692089595,2274644758802,584860790
346250,1600010413,1100692089595,2274862414714,584860790
346875,1600013977,1100692089595,2275080925744,584860790
347500,1600017544,1100692089595,2275305588150,584860790
348125,1600021092,1100692089595,2275530101726,584860790
348750,1600024638,1100692089595,2275760743718,584860790
349375,1600028175,1100692089595,2275998725883,584860790
350000,1600031715,1100692089595,2276232220236,584860790
350625,1600035258,1100692089595,2276459518307,584860790
351250,1600038803,1100692089595,2276685021788,584860790
351875,1600042343,1100692089595,2276916086581,584860790
352500,1600045883,1100692089595,2277145315473,584860790
353125,1600049437,1100692089595,2277376471642,584860790
353750,1600052985,1100692089595,2277608880761,584860790
354375,1600056531,1100692089595,2277843865968,584860790
355000,1600060077,1100692089595,2278080900249,584860790
355625,1600063631,1100692089595,2278308823919,584860790
356250,1600067179,1100692089595,2278544821512,584860790
356875,1600070726,1100692089595,2278785153070,584860790
357500,1600074279,1100692089595,2314299434224,575995951
358125,1600077837,1100692089595,2355532744684,566023328
358750,1600081387,1100692089595,2355776489971,566023328
359375,1600084942,1100692089595,2356012281492,566023328
360000,1600088494,1100692089595,2356252015880,566023328
360625,1600092049,1100692089595,2356485547649,566023328
361250,1600095629,1100692089595,2452254360765,544075496
361875,1600099199,1100692089595,2452483315332,544075496
362500,1600102764,1100692089595,2468551710162,540602895
363125,1600106346,1100692089595,2468786674158,540602895
363750,1600109907,1100692089595,2469018028964,540602895
364375,1600113463,1100692089595,2469258353131,540602895
365000,1600117019,1100692089595,2469493930950,540602895
365625,1600120589,1100692089595,2469717223202,540602895
366250,1600124147,1100692089595,2469955928032,540602895
366875,1600127700,1100692089595,2450946416308,544873895
367500,1600131248,1100692089595,2451194483138,544873895
368125,1600134842,1100692089595,2451442475257,544873895
368750,1600138555,1100692089595,2451689952332,544873895
369375,1600142271,1100692089595,2465872073351,541816942
370000,1600145988,1100692089595,2466108905771,541816942
370625,1600149627,1100692089595,2466359899653,541816942
371250,1600153194,1154323089665,2680823463470,541786572
371875,1600156777,1184608417249,2767303076383,548595942
372500,1600160347,1184608417249,2767528022393,548595942
373125,1600163946,1199794377410,2828246516555,548595942
373750,1600167527,1199794377410,2828390052536,548595942
374375,1600171083,1199794377410,2828520426610,548595942
375000,1600174636,1199794377410,2828653304557,548595942
375625,1600178207,1199794377410,2789330644698,556390942
376250,1600181771,1199794377410,2789453142934,556390942
376875,1600185330,1199794377410,2789589723583,556390942
377500,1600188890,1199794377410,2807555853979,552885121
378125,1600192449,1199794377410,2807748047166,552885121
378750,1600196025,1199794377410,2807931877780,552885121
379375,1600199583,1199794377410,2808118686240,552885121
380000,1600203146,208699608182,487337888946,96400844
380625,1600206698,146280340537,340909427259,67706935
381250,1600210245,146280340537,340934993311,67706935
381875,1600213795,146280340537,340961193600,67706935
382500,1600217355,146280340537,347530017783,66451106
383125,1600220901,146280340537,347556394188,66451106
383750,1600224454,146280340537,347581977357,66451106
384375,1600228005,146280340537,347607735062,66451106
385000,1600231577,146280340537,350277666256,68634250
385625,1600235143,146280340537,350301140487,68634250
