block_number,timestamp,pool_units,balance_rune,balance_asset
157500,1598952349,20802124800,21682701709,19983007934
158125,1598955799,20802124800,21684792109,19983007934
158750,1598959250,20802124800,21686881587,19983007934
159375,1598962701,20802124800,21688997816,19983007934
160000,1598966150,20802124800,21691123830,19983007934
160625,1598969599,20802124800,21593253510,20075124455
161250,1598973048,20802124800,20595795462,21075124455
161875,1598976499,20802124800,20597853587,21075124455
162500,1598979999,20802124800,20599911642,21075124455
163125,1598983666,20802124800,20601961235,21075124455
163750,1598987331,20802124800,20604004741,21075124455
164375,1598990999,20802124800,20606020518,21075124455
165000,1598994668,20802124800,20608021184,21075124455
165625,1598998337,20802124800,20610020621,21075124455
166250,1599002003,20802124800,20612019996,21075124455
166875,1599005672,20802124800,20614002678,21075124455
167500,1599009340,20802124800,20615983896,21075124455
168125,1599013008,20802124800,20617964521,21075124455
168750,1599016677,20802124800,20619945146,21075124455
169375,1599020351,20802124800,20621922499,21075124455
170000,1599024019,20802124800,20623840663,21075124455
170625,1599027689,20802124800,20625768163,21075124455
171250,1599031353,20802124800,20627671908,21075124455
171875,1599035024,4176240927394,4131644828878,4220952739160
172500,1599038691,4176240927394,4134453271561,4218237567898
173125,1599042230,4176240927394,4134641643153,4218237567898
173750,1599045701,4176240927394,4134904423282,4218237567898
174375,1599049181,5369176248092,5528930472525,5222326642581
175000,1599052678,5369486263116,5497452555426,5254461181837
175625,1599056153,5370464062871,5436498865552,5315336887433
176250,1599059624,5370464062871,5291935164568,5460567348005
176875,1599063094,5370464062871,5291954931160,5460567348005
177500,1599066566,5370464062871,5601501505056,5158992398249
178125,1599070038,5370464062871,5522822277820,5232510503895
178750,1599073511,5370464062871,5522838202805,5232510503895
179375,1599076982,5370464062871,5522855363915,5232510503895
180000,1599080454,5370464062871,5487803677515,5266012193081
180625,1599083927,5370464062871,5481038132458,5272599916609
181250,1599087399,5370464062871,5463958024375,5289181009145
181875,1599090871,5370464062871,5593711482010,5166829247581
182500,1599094342,5370464062871,5593806068085,5166829247581
183125,1599097815,5370464062871,5593899939495,5166829247581
183750,1599101288,5370464062871,5593993590592,5166829247581
184375,1599104760,5370464062871,5594088420406,5166829247581
185000,1599108365,5370464062871,5594136797351,5166829247581
185625,1599111932,5370464062871,5604159826761,5157609466507
186250,1599115411,5370464062871,5604176710579,5157609466507
186875,1599118884,5370464062871,5604181677697,5157609466507
187500,1599122357,5370464062871,5604189067594,5157609466507
188125,1599125828,5370464062871,5500845325655,5254535050328
188750,1599129295,5370464062871,5469172609295,5285013150328
189375,1599132746,5370464062871,5417202664387,5335763150328
190000,1599136203,5370464062871,5526719992242,5230079332509
190625,1599139651,5370464062871,5535726113129,5221595136219
191250,1599143099,5370464062871,5537846803847,5219612773047
191875,1599146546,5370464062871,5537864859540,5219612773047
192500,1599149993,5370464062871,5537883713384,5219612773047
193125,1599153440,5370464062871,5587378415067,5173418702489
193750,1599156889,5370464062871,5914836261894,4887217829208
194375,1599160339,5370464062871,5914849333333,4887217829208
195000,1599163788,5370464062871,5693335899733,5077439976121
195625,1599167235,5370464062871,5834104565593,4955014780425
196250,1599170685,5370464062871,5893623138209,4904994763372
196875,1599174133,5370464062871,5893638850855,4904994763372
197500,1599177581,5370464062871,5893663028045,4904994763372
198125,1599181028,5370464062871,5893695820598,4904994763372
198750,1599184475,5370464062871,5873365065388,4922002763372
199375,1599187926,5370464062871,5863234631646,4930549763372
200000,1599191375,5370464062871,5863293813512,4930549763372
200625,1599194822,5370464062871,5969358493919,4843042956022
201250,1599198270,5370464062871,6140818322750,4707934089372
201875,1599201718,5370464062871,6160715240798,4692776531718
202500,1599205166,5370464062871,6271591434112,4609883368388
203125,1599208616,5370464062871,6311783153962,4580906723395
203750,1599212063,5370464062871,6311808838335,4580906723395
204375,1599215512,5370464062871,6376571525208,4534422238710
205000,1599218972,5513081782070,6549860745222,4648327938162
205625,1599222458,5610691644673,6714909621923,4693652505060
206250,1599225940,5610691644673,6734351960790,4680140621769
206875,1599229425,5610691644673,6536483804393,4822035876729
207500,1599232903,5610691644673,6430387280839,4901831487583
208125,1599236381,5610691644673,6503367227105,4846901265719
208750,1599239861,5610691644673,6555095282069,4808706888846
209375,1599243348,5616404639780,6547951181631,4823672596746
210000,1599246838,5616415543460,6131291814795,5155170553452
210625,1599250338,5821064010736,6682564564057,5082676247683
211250,1599253829,5821064010736,6730990905092,5046124360265
211875,1599257318,5821064010736,6658503444934,5101071327867
212500,1599260802,5821064010736,6658513836388,5101071327867
213125,1599264283,5821064010736,6658524227109,5101071327867
213750,1599267763,5821064010736,6658534616779,5101071327867
214375,1599271245,5821064010736,6658545005401,5101071327867
215000,1599274726,5821064010736,6658555393066,5101071327867
215625,1599278207,5821064010736,6658565779626,5101071327867
216250,1599281686,5821064010736,6658576165154,5101071327867
216875,1599285166,5821064010736,6658586549725,5101071327867
217500,1599288649,5821064010736,6658596933214,5101071327867
218125,1599292131,5821064010736,6658607315687,5101071327867
218750,1599295671,5821064010736,6658617697318,5101071327867
219375,1599299185,5821064010736,6658628078010,5101071327867
220000,1599302693,5821064010736,6658638457685,5101071327867
220625,1599306192,5821064010736,6658648836300,5101071327867
221250,1599309685,5821064010736,6658659213943,5101071327867
221875,1599313176,5821064010736,6658669590531,5101071327867
222500,1599316672,5821064010736,6658679966136,5101071327867
223125,1599320178,5821064010736,6658690282035,5101071327867
223750,1599323677,5821064010736,6658700038946,5101071327867
224375,1599327172,5821064010736,6658709811781,5101071327867
225000,1599330656,5821064010736,6658719583599,5101071327867
225625,1599334139,5821064010736,6658729409059,5101071327867
226250,1599337637,5821064010736,6658739007840,5101071327867
226875,1599341132,5821064010736,6658748527456,5101071327867
227500,1599344623,5821064010736,6658757959955,5101071327867
228125,1599348114,5821064010736,6658767391620,5101071327867
228750,1599351606,5821064010736,6658776822430,5101071327867
229375,1599355097,5821064010736,6658786252201,5101071327867
230000,1599358588,5821064010736,6658795681141,5101071327867
230625,1599362079,5821064010736,6658806873895,5101071327867
231250,1599365586,5821064010736,6658901144399,5101071327867
231875,1599369094,5821064010736,6658995405589,5101071327867
232500,1599372607,5821064010736,6659089657446,5101071327867
233125,1599376116,5821064010736,7277870612642,4667805870506
233750,1599379620,5821064010736,7293725956595,4657716437311
234375,1599383123,5821064010736,7293810112267,4657716437311
235000,1599386617,5821064010736,7325636577343,4637542148846
235625,1599390109,5821064010736,7325720568213,4637542148846
236250,1599393602,5821064010736,7253501098073,4683825226250
236875,1599397095,5821064010736,7010523103026,4846310486250
237500,1599400587,5821064010736,6948575536781,4889597136250
238125,1599404082,5821064010736,6888356685227,4932423036250
238750,1599407574,5818929732819,6824448540741,4975040581263
239375,1599411110,5877267874878,6861303871015,5046830735778
240000,1599414636,7089593301720,8540303576530,6378941176252
240625,1599418136,7089593301720,8556182715364,6367102789922
241250,1599421641,7089593301720,8610619181086,6326850690774
241875,1599425140,7089593301720,8733766133667,6237643939636
242500,1599428633,7089593301720,8662929343349,6288649019636
243125,1599432132,7240974651823,8825136930760,6427347375183
243750,1599435632,7254885472603,8781871644256,6482627005265
244375,1599439131,7254885472603,8621576480832,6603163823262
245000,1599442628,7254885472603,8620431254001,6604046843008
245625,1599446117,7254885472603,8530881591684,6673386583008
246250,1599449604,7254885472603,8469517614258,6721753583008
246875,1599453091,7254885472603,8543445179319,6663607377843
247500,1599456580,7254885472603,8523108283186,6679520377843
248125,1599460067,7254885472603,8523184428702,6679520377843
248750,1599463555,11343257806030,13130241183272,10252820377843
249375,1599467055,12848280529401,15243286579984,11252407140503
250000,1599470538,12848280529401,15202998410396,11282525140503
250625,1599474019,12848280529401,15227923394291,11264353973715
251250,1599477507,12848280529401,15524783334077,11049413719985
251875,1599481009,12848280529401,15715390634831,10915887335068
252500,1599484515,12848280529401,15729280938728,10906627516136
253125,1599488025,12848280529401,15550193878911,11032707697322
253750,1599491526,11887754984360,14397163847094,10201694180432
254375,1599495027,11887754984360,14708678349549,9986176337214
255000,1599498530,11887754984360,14924143582542,9850198663781
255625,1599502030,11887754984360,15238854302575,9647453897229
256250,1599505535,11887754984360,14660318228663,10030257862234
256875,1599509037,11887754984360,14710879983721,9996349166106
257500,1599512538,11887754984360,14558812056402,10101427016106
258125,1599516039,11887754984360,14284100013053,10296532325642
258750,1599519532,11887754984360,14284833202896,10296532325642
259375,1599523026,11887754984360,14285552626927,10296532325642
260000,1599526517,11887754984360,14409011665131,10208944955252
260625,1599530010,11887754984360,14467596012346,10168209225106
261250,1599533501,11887754984360,14468436240302,10168138945071
261875,1599536990,11887754984360,14448847630667,10182457945071
262500,1599540479,11887754984360,14429263237929,10196813945071
263125,1599543971,11887754984360,14338862401509,10261931945071
263750,1599547463,11887754984360,14289335998170,10298537985071
264375,1599550957,11887754984360,13997739892638,10516405888175
265000,1599554453,11887754984360,14053570025168,10475691560149
265625,1599557943,11887754984360,14054932481577,10475691560149
266250,1599561438,11889936713914,14061276735654,10475692344020
266875,1599564936,12842082920543,15155326026483,11287692344020
267500,1599568429,12842082920543,15156777879687,11287692344020
268125,1599571941,15900459389937,19348778747695,13458403714596
268750,1599575443,16313126813817,19954789941905,13717622281207
269375,1599578950,16313126813817,19955510534089,13717622281207
270000,1599582437,16313126813817,20758091562237,13218627388878
270625,1599585921,16313126813817,20388324910966,13459084638878
271250,1599589404,16313126813817,20418400379827,13440183457040
271875,1599592887,16313126813817,20171142722510,13605561196094
272500,1599596369,16313126813817,20031880962632,13700723196094
273125,1599599851,16313126813817,19859638396947,13820139896094
273750,1599603334,16313126813817,19813653753020,13852747071422
274375,1599606817,16313126813817,19698399651550,13934355405184
275000,1599610298,16411085576094,20136828336166,13791132541374
275625,1599613778,16411085576094,20137553625681,13791132541374
276250,1599617260,16411085576094,20138276511848,13791132541374
276875,1599620742,16411085576094,20097475273756,13819690178840
277500,1599624226,16411085576094,20176915422814,13765907018464
278125,1599627707,16411085576094,19978639572408,13903272176596
278750,1599631190,16411085576094,19896022970087,13961644119401
279375,1599634671,16411085576094,19896743530348,13961644119401
280000,1599638153,16411085576094,20162015951767,13778624717270
280625,1599641634,16411085576094,20373731825716,13636053500128
281250,1599645117,16377105058267,20239013162314,13670593079212
281875,1599648599,16377105058267,20309995218660,13623317637645
282500,1599652082,16377105058267,20274898568095,13647398733109
283125,1599655565,16377105058267,20275612534172,13647398733109
283750,1599659045,16374923328713,20273525945026,13645647958379
284375,1599662535,16374923328713,20106488262333,13759554958379
285000,1599666024,16374923328713,20080754702718,13777778949320
285625,1599669531,16016112773022,19662803546778,13460838031712
286250,1599673041,16029605813043,19394508953572,13671103912028
286875,1599676536,16029605813043,19254513621970,13771044264343
287500,1599680044,16029605813043,19144254455256,13850878201567
288125,1599683535,16029605813043,18856006608654,14063244441567
288750,1599687034,16029605813043,18961495683670,13986347862418
289375,1599690521,16029605813043,18962094956552,13986347862418
290000,1599694008,16029605813043,18973923176270,13978073021591
290625,1599697498,16029605813043,18958620037953,13989806299464
291250,1599700986,16029605813043,18871351775325,14054986299464
291875,1599704478,16029605813043,19039995712355,13931060021275
292500,1599707967,15931647050766,18911231148667,13855736107445
293125,1599711459,15931647050766,18892241166049,13870137910039
293750,1599714971,16370739270141,19551879224108,14130179467918
294375,1599718467,16458195714494,19256856776282,14496660036617
295000,1599721965,16747272801207,19205066883880,15039205939407
295625,1599725466,16747272801207,19409887384978,14881563632571
296250,1599728956,16747272801207,19410407032636,14881563632571
296875,1599732445,16747272801207,19359929629342,14920799132571
297500,1599735936,16470729502112,18919555778243,14769280915942
298125,1599739425,16470729502112,18935003508430,14757827881561
298750,1599742919,16101461747151,18822503120235,14189343620914
299375,1599746408,16101461747151,18876652076223,14149173883412
300000,1599749896,16101461747151,18777905708240,14224137582012
300625,1599753385,16101461747151,18804575549208,14204454587533
301250,1599756877,16101461747151,18785468098028,14219473287533
301875,1599760367,16101461747151,18740229241118,14254826994310
302500,1599763866,16101461747151,18532186628831,14416569761787
303125,1599767370,16101461747151,18668783632564,14312345058879
303750,1599770859,16101461747151,18702508309822,14287591530014
304375,1599774348,16217468883496,18914883712830,14327789265264
305000,1599777834,14734330570533,17186110214541,13017618118339
305625,1599781321,14733291251642,17421298604147,12841372713907
306250,1599784809,14733291251642,17671070675197,12661145602696
306875,1599788294,14733291251642,17657067103584,12672083602696
307500,1599791775,14733291251642,17658343212163,12672083602696
308125,1599795256,14733291251642,17644395865026,12683039602696
308750,1599798736,14733291251642,17583342239725,12728044588696
309375,1599802217,14733291251642,17584613189299,12728044588696
310000,1599805699,14733291251642,17640517100415,12688707023044
310625,1599809182,14733291251642,18053725115465,12399887597316
311250,1599812667,14733291251642,18183600126627,12313170824005
311875,1599816154,14733291251642,18155645041191,12333031834255
312500,1599819646,14733291251642,18156967735148,12333031834255
313125,1599823144,14989654661874,17850941278788,12973908945239
313750,1599826642,15015556561420,17732656996968,13105712697572
314375,1599830160,15059849927101,17923765784276,13041706807259
315000,1599833678,15136919284093,18011492479182,13109038749348
315625,1599837193,15136919284093,18013097694536,13108842235649
316250,1599840707,15136919284093,18109368978087,13040284141044
316875,1599844233,15136919284093,18213067592855,12967256508488
317500,1599847753,15136919284093,18172383909357,12997256508488
318125,1599851268,15136919284093,18104143489604,13047256508488
318750,1599854785,15136919284093,18065853383938,13076020689037
319375,1599858302,15136919284093,17942860109246,13166712953037
320000,1599861817,15136919284093,17956298794727,13157828245286
320625,1599865338,15136919284093,18066410362248,13081313116103
321250,1599868849,15136919284093,18110365839933,13050581561345
321875,1599872360,15020912147748,17972738614195,12950635870712
322500,1599875876,15020912147748,17888650734876,13012532607712
323125,1599879390,15020912147748,17800903320151,13078363933580
323750,1599882900,15020912147748,17669336369104,13176854433580
324375,1599886409,15020912147748,17670613391223,13176854433580
325000,1599889919,15020912147748,17722734447847,13139234520436
325625,1599893429,15020912147748,17724008276262,13139234520436
326250,1599896933,15020912147748,17725272933358,13139234520436
326875,1599900448,15020912147748,17989448373310,12948307736891
327500,1599903956,14577686456351,17551909880420,12501165021298
328125,1599907466,14577686456351,17432011967938,12588683436298
328750,1599910975,14577686456351,17433912479061,12588683436298
329375,1599914491,14577686456351,17401999706229,12613957185941
330000,1599918032,14577686456351,17420731377402,12602559322713
330625,1599921595,14577686456351,17327732200664,12671655519113
331250,1599925170,14577686456351,17101396033778,12841827399831
331875,1599928737,14577686456351,17103265940703,12841827399831
332500,1599932285,14577686456351,17128505374916,12824392257283
333125,1599935830,14577686456351,17328836288295,12677815490564
333750,1599939388,14577686456351,17420485924365,12612594309018
334375,1599942949,14577686456351,17375651894782,12646428691171
335000,1599946514,14577686456351,17377457962386,12646428691171
335625,1599950059,14577686456351,17406661280695,12627014736953
336250,1599953606,14577686456351,17408540592993,12627014736953
336875,1599957164,14577686456351,17280545192121,12722011773953
337500,1599960718,14577686456351,16811893662783,13078914479066
338125,1599964268,14577686456351,16813577781278,13079114480327
338750,1599967817,14577686456351,16945860778668,12979277450757
339375,1599971365,14577686456351,16685917790840,13183321323757
340000,1599974914,14577686456351,16764400315867,13123278001875
340625,1599978460,14577686456351,16845923893744,13061278203086
341250,1599982006,14577686456351,17116498769382,12856634012186
341875,1599985554,14577686456351,16847852186007,13063453525186
342500,1599989099,13396958310101,15416847127935,12058704596044
343125,1599992644,13396958310101,15419693350797,12058318870962
343750,1599996188,13396958310101,15421361043703,12058318870962
344375,1599999729,13396958310101,15451679620595,12035981116313
345000,1600003277,13396958310101,15428988818868,12055339363518
345625,1600006848,13396958310101,15706207555444,11846975373857
346250,1600010413,13396958310101,16251849879807,11452914964382
346875,1600013977,13396958310101,16055386875127,11596423399275
347500,1600017544,13396958310101,16543517245074,11256632424606
348125,1600021092,13396958310101,16319163120844,11413831199786
348750,1600024638,13396958310101,16307551018794,11423134387111
349375,1600028175,13396958310101,16309256341410,11423134387111
