block_number,timestamp,pool_units,balance_rune,balance_asset
500000,1600890909,1424221970855,3070472218630,2969749719
500625,1600894448,1447344336319,2977542917882,3166099232
501250,1600897985,1447344336319,2977699216772,3166099232
501875,1600901523,1447344336319,2977857910087,3166099232
502500,1600905059,1447344336319,2966845312445,3178100825
503125,1600908601,1447344336319,2950378761588,3196118204
503750,1600912154,1447344336319,2922758634480,3226746749
504375,1600915714,1447344336319,2922895488869,3226746749
505000,1600919281,1447344336319,2923047714778,3226746749
505625,1600922825,1447344336319,2923197220505,3226746749
506250,1600926395,1447344336319,2923290728258,3226746749
506875,1600929940,1447344336319,2923375009050,3226746749
507500,1600933480,1447344336319,2923462064345,3226746749
508125,1600937020,1447344336319,2923549140517,3226746749
508750,1600940555,1447344336319,2923637723470,3226746749
509375,1600944096,1447344336319,2923723170652,3226746749
510000,1600947638,1447344336319,2923810022184,3226746749
510625,1600951180,1447344336319,2923894097850,3226746749
511250,1600954723,1447344336319,2877857562895,3278682749
511875,1600958265,1447344336319,2877942406994,3278682749
512500,1600961803,1447344336319,2878028035568,3278682749
513125,1600965347,1447344336319,2878110872432,3278682749
513750,1600968899,1447344336319,2878191174474,3278682749
514375,1600972447,1447344336319,2878275240506,3278682749
515000,1600975994,1447344336319,2878357237588,3278682749
515625,1600979538,1447344336319,2878442852119,3278682749
516250,1600983076,1447344336319,2878530753413,3278682749
516875,1600986616,1447344336319,2878618623301,3278682749
517500,1600990153,1447344336319,2878706481642,3278682749
518125,1600993691,1447344336319,2878794492918,3278682749
518750,1600997233,1447344336319,2878879189946,3278682749
519375,1601000763,1447344336319,2878964574796,3278682749
520000,1601004277,1447344336319,2879053259425,3278682749
520625,1601007806,1447344336319,2879136284505,3278682749
521250,1601011318,1447344336319,2879224080342,3278682749
521875,1601014879,1447344336319,2879301065373,3278682749
522500,1601018436,1447344336319,2879379861276,3278682749
523125,1601021970,1447344336319,2879465019223,3278682749
523750,1601025504,1447344336319,2879551999721,3278682749
524375,1601029046,1447344336319,2879639039765,3278682749
525000,1601032595,1447344336319,2879722673836,3278682749
525625,1601036132,1447344336319,2879806400145,3278682749
526250,1601039667,1447344336319,2879891536538,3278682749
526875,1601043210,1447344336319,2879974284396,3278682749
527500,1601046740,1447344336319,2880059882047,3278682749
528125,1601050266,1447344336319,2854161807900,3308711714
528750,1601053788,1447344336319,2854245350304,3308711714
529375,1601057313,1447344336319,2854330375294,3308711714
530000,1601060837,1447344336319,2854414571580,3308711714
530625,1601064359,1447344336319,2854498374115,3308711714
531250,1601067883,1447344336319,2854581065391,3308711714
531875,1601071410,1447344336319,2854666228583,3308711714
532500,1601074941,1447344336319,2854752051154,3308711714
533125,1601078480,1447344336319,2854832532418,3308711714
533750,1601082022,1447344336319,2854911735435,3308711714
534375,1601085574,1447344336319,2854996378167,3308711714
535000,1601089116,1447344336319,2855084843534,3308711714
535625,1601092674,1447344336319,2855167943646,3308711714
536250,1601096234,1447344336319,2855252966390,3308711714
536875,1601099793,1447344336319,2855345131652,3308711714
537500,1601103344,1447344336319,2855434377324,3308711714
538125,1601106889,1447344336319,2855525345499,3308711714
538750,1601110432,1447344336319,2855616828780,3308711714
539375,1601113990,1447344336319,2786777067436,3390944111
540000,1601117531,1447344336319,2786865530590,3390944111
540625,1601121076,1447344336319,2786951692336,3390944111
541250,1601124621,1447344336319,2787037307040,3390944111
541875,1601128163,1447344336319,2787122980293,3390944111
542500,1601131705,1447344336319,2787210492708,3390944111
543125,1601135260,1447344336319,2787293988611,3390944111
543750,1601138814,1447344336319,2702896266528,3497444111
544375,1601142361,1447344336319,2702983637008,3497444111
545000,1601145907,1447344336319,2703069217482,3497444111
545625,1601149458,1447344336319,2703152284059,3497444111
546250,1601152999,1447344336319,2703238343903,3497444111
546875,1601156542,1447344336319,2703324385227,3497444111
547500,1601160084,1447344336319,2703410503435,3497444111
548125,1601163640,1447344336319,2703490851815,3497444111
548750,1601167183,1447344336319,2703580981200,3497444111
549375,1601170729,1447344336319,2703668428530,3497444111
550000,1601174270,1447344336319,2703757791664,3497444111
550625,1601177821,1447344336319,2703848077374,3497444111
551250,1601181395,1447344336319,2703937652719,3497444111
551875,1601184987,1447344336319,2688706687035,3517444111
552500,1601188592,1447344336319,2688805466735,3517444111
553125,1601192159,1447344336319,2688920332829,3517444111
553750,1601195727,1447344336319,2689032751409,3517444111
554375,1601199291,1447344336319,2689220700401,3517444111
555000,1601202855,1447344336319,2670574775653,3542444111
555625,1601206443,1447344336319,2596734843114,3644542592
556250,1601210013,1447344336319,2596951901315,3644542592
556875,1601213589,1447344336319,2597156963469,3644542592
557500,1601217160,1447344336319,2597351113406,3644542592
558125,1601220742,1447344336319,2597526024009,3644542592
558750,1601224307,1447344336319,2597689195423,3644542592
559375,1601227886,1447344336319,2597849385430,3644542592
560000,1601231461,1447344336319,2590724954376,3654865312
560625,1601235034,1447344336319,2553443643730,3708797533
561250,1601238604,1447344336319,2553606054926,3708797533
561875,1601242171,1447344336319,2553768786499,3708797533
562500,1601245734,1447344336319,2553934654749,3708797533
563125,1601249300,1447344336319,2554103133346,3708797533
563750,1601252869,1447344336319,2554268606412,3708797533
564375,1601256473,1447344336319,2436798705387,3888747533
565000,1601260054,1447344336319,2436964856185,3888747533
565625,1601263627,1447344336319,2437137807843,3888747533
566250,1601267229,1447344336319,2437301558545,3888747533
566875,1601270850,1447344336319,2437469414437,3888747533
567500,1601274455,1447344336319,2437620777926,3888747533
568125,1601278058,1447344336319,2437773102609,3888747533
568750,1601281669,1447344336319,2437915593976,3888747533
569375,1601285260,1447344336319,2438061202006,3888747533
570000,1601288855,1447344336319,2438198031618,3888747533
570625,1601292470,1447344336319,2438325736588,3888747533
571250,1601296079,1447344336319,2438456965042,3888747533
571875,1601299680,1447344336319,2438587476867,3888747533
572500,1601303273,1447344336319,2438719532214,3888747533
573125,1601306866,1447344336319,2438852602887,3888747533
573750,1601310462,1447344336319,2438984742075,3888747533
574375,1601314055,1447344336319,2439118221595,3888747533
575000,1601317659,1447344336319,2439245168808,3888747533
575625,1601321270,1447344336319,2471788333040,3838027003
576250,1601324879,1447344336319,2471920810286,3838027003
576875,1601328494,1447344336319,2523958750867,3759366670
577500,1601332092,1447344336319,2524086477557,3759366670
578125,1601335698,1447344336319,2524209793605,3759366670
578750,1601339313,1447344336319,2524329000388,3759366670
579375,1601342913,1447344336319,2524448891115,3759366670
580000,1601346511,1447344336319,2524568069064,3759366670
580625,1601350108,1447344336319,2524685745717,3759366670
581250,1601353716,1447344336319,2524793777470,3759366670
581875,1601357317,1447344336319,2524902982390,3759366670
582500,1601360915,1447344336319,2525016602823,3759366670
583125,1601364527,1447344336319,2525137048475,3759366670
583750,1601368127,1447344336319,2525280145689,3759366670
584375,1601371736,1447344336319,2525423192731,3759366670
585000,1601375345,1447344336319,2525567535251,3759366670
585625,1601378947,1447344336319,2525701444561,3759366670
586250,1601382546,1447344336319,2525842048620,3759366670
586875,1601386142,1447344336319,2525981903078,3759366670
587500,1601389737,1447344336319,2526119619550,3759366670
588125,1601393328,1447344336319,2526259444449,3759366670
588750,1601396921,1447344336319,2526399605940,3759366670
589375,1601400518,1447344336319,2526538779494,3759366670
590000,1601404130,1447344336319,2526671572912,3759366670
590625,1601407736,1447344336319,2581255738441,3680397685
591250,1601411342,1447344336319,2581390480989,3680397685
591875,1601414958,1447344336319,2581514288932,3680397685
592500,1601418573,1447344336319,2581639613475,3680397685
593125,1601422187,1447344336319,2581763756791,3680397685
593750,1601425788,1447344336319,2581891316934,3680397685
594375,1601429391,1447344336319,2628682616066,3615341565
595000,1601432984,1447344336319,2628813169608,3615341565
595625,1601436579,1447344336319,2628944500421,3615341565
596250,1601440196,1447344336319,2629072305454,3615341565
596875,1601443809,1447344336319,2629203324495,3615341565
597500,1601447413,1447344336319,2629335866504,3615341565
598125,1601451008,1447344336319,2629466785004,3615341565
598750,1601454613,1447344336319,2629601432770,3615341565
599375,1601458227,1447344336319,2629733160544,3615341565
600000,1601461849,1447344336319,2659658452916,3575040300
600625,1601465448,1447344336319,2659793843329,3575040300
601250,1601469044,1447344336319,2659931416975,3575040300
601875,1601472650,1447344336319,2692768465497,3531824296
602500,1601476254,1447344336319,2692899755981,3531824296
603125,1601479849,1447344336319,2693036965520,3531824296
603750,1601483464,1447344336319,2693175501061,3531824296
604375,1601487070,1447344336319,2693311181214,3531824296
605000,1601490668,1447344336319,2693454845907,3531824296
605625,1601494280,1447344336319,2693595806289,3531824296
606250,1601497876,1447344336319,2693749227125,3531824296
606875,1601501477,1447344336319,2693901654802,3531824296
607500,1601505071,1447344336319,2694054105915,3531824296
608125,1601508672,1447344336319,2694203062639,3531824296
608750,1601512273,1447344336319,2694348131814,3531824296
609375,1601515866,1447344336319,2694499661659,3531824296
610000,1601519460,1447344336319,2694657116763,3531824296
610625,1601523059,1447344336319,2694811568295,3531824296
611250,1601526662,1447344336319,2694967200426,3531824296
611875,1601530263,1447344336319,2695120142058,3531824296
612500,1601533865,1447344336319,2695276273149,3531824296
613125,1601537464,1447344336319,2695441357810,3531824296
613750,1601541082,1447344336319,2695585493607,3531824296
614375,1601544683,1447344336319,2695696301892,3531824296
615000,1601548299,1447344336319,2695808628908,3531824296
615625,1601551908,1447344336319,2695931263909,3531824296
616250,1601555522,1447344336319,2696055905972,3531824296
616875,1601559133,1447344336319,2696181594636,3531824296
617500,1601562738,1447344336319,2696296804864,3531824296
618125,1601566337,1447344336319,2696412962564,3531824296
618750,1601569949,1447344336319,2696526628136,3531824296
619375,1601573552,1447344336319,2696641115347,3531824296
620000,1601577159,1447344336319,2696755674566,3531824296
620625,1601580760,1447344336319,2696872072176,3531824296
621250,1601584363,1447344336319,2696987339313,3531824296
621875,1601587996,1447344336319,2697082588521,3531824296
622500,1601591615,1447344336319,2697178235193,3531824296
623125,1601595230,1447344336319,2697275511983,3531824296
623750,1601598845,1447344336319,2697379875603,3531824296
624375,1601602465,1447344336319,2697481976702,3531824296
625000,1601606079,1447344336319,2697585804815,3531824296
625625,1601609685,1447344336319,2697688837111,3531824296
626250,1601613285,1447344336319,2697796379116,3531824296
626875,1601616893,1447344336319,2697901270628,3531824296
627500,1601620511,1447344336319,2698000262344,3531824296
628125,1601624112,1447344336319,2698103510910,3531824296
628750,1601627713,1447344336319,2698206831144,3531824296
629375,1601631320,1447344336319,2698308590637,3531824296
630000,1601634941,1447344336319,2698400765200,3531824296
630625,1601638558,1447344336319,2698492116706,3531824296
631250,1601642169,1447344336319,2698584698966,3531824296
631875,1601645784,1447344336319,2698681440611,3531824296
632500,1601649403,1447344336319,2698773555351,3531824296
