block_number,timestamp,pool_units,balance_rune,balance_asset
800000,1602616831,20607184004704,5356753596919,18249901595716
800625,1602620527,20607184004704,4028735746996,24304119765879
801250,1602624219,20607184004704,3537326296548,27734523098569
801875,1602627890,20607184004704,3330086489410,29480823098569
802500,1602631565,20607184004704,2694771035007,36581623098569
803125,1602635230,20607184004704,2764422462006,35675968457520
803750,1602638903,22911234418498,3069917662942,39727847158969
804375,1602642562,22911234418498,3070124998054,39727847158969
805000,1602646236,22911234418498,3070334400571,39727847158969
805625,1602649911,22911234418498,3070546249794,39727847158969
806250,1602653597,22911234418498,3070748909029,39727847158969
806875,1602657284,22911234418498,3070952746757,39727847158969
807500,1602660961,21271214905921,2851211963326,36885363615821
808125,1602664642,17129852966610,2296061186919,29706479551753
808750,1602668335,17129852966610,2296215805990,29706479551753
809375,1602672011,17129852966610,2296381459686,29706479551753
810000,1602675707,11498319782942,1497929592161,20527656742725
810625,1602679432,10585933413294,1365826984594,19085097331472
811250,1602683116,10585933413294,1365920177977,19085097331472
811875,1602686792,10585933413294,1366010864660,19085097331472
812500,1602690468,10780412325912,1391242441986,19435097331472
813125,1602694159,10780412325912,1391329940762,19435097331472
813750,1602697836,10780412325912,1391418506798,19435097331472
814375,1602701518,10780412325912,1391507301336,19435097331472
815000,1602705196,10780412325912,1391596625154,19435097331472
815625,1602708874,10780412325912,1391685971188,19435097331472
816250,1602712546,10780412325912,1391773986142,19435097331472
816875,1602716231,10780412325912,1391858844529,19435097331472
817500,1602719936,9746274229919,1258031179256,17576119582699
818125,1602723604,9746274229919,1258108095512,17576119582699
818750,1602727298,9746274229919,1287707772613,17177650277447
819375,1602730986,9746274229919,1287785009531,17177650277447
820000,1602734717,9746274229919,1287862720279,17177650277447
820625,1602738370,9746274229919,1287940072283,17177650277447
821250,1602742054,9746274229919,1288014220025,17177650277447
821875,1602745751,9746274229919,1288091690058,17177650277447
822500,1602749429,9746274229919,1288160507320,17177650277447
823125,1602753100,9746274229919,1288232288635,17177650277447
823750,1602756759,9746274229919,1288306020494,17177650277447
824375,1602760412,7852782737147,974869868015,14747999137560
825000,1602764044,7852782737147,974923670790,14747999137560
825625,1602767695,7852782737147,974977346977,14747999137560
826250,1602771355,7852782737147,975028575350,14747999137560
826875,1602774991,7852782737147,975080753844,14747999137560
827500,1602778628,7785599737709,966686721614,14623337874148
828125,1602782257,7785599737709,986551320366,14332842811363
