block_number,timestamp,pool_units,balance_rune,balance_asset
204375,1599215512,216438095293,19676234299,413200000112
205000,1599218972,216438095293,19676460454,413200000112
205625,1599222458,534788206731,48686633291,1020100000000
206250,1599225940,534788206731,48686956089,1020100000000
206875,1599229425,534788206731,48687261516,1020100000000
207500,1599232903,534788206731,48687674743,1020100000000
208125,1599236381,534788206731,48688120208,1020100000000
208750,1599239861,534788206731,48688545550,1020100000000
209375,1599243348,534788206731,48688836709,1020100000000
210000,1599246838,534788206731,48689081487,1020100000000
210625,1599250338,534788206731,48689184951,1020100000000
211250,1599253829,534788206731,48689259980,1020100000000
211875,1599257318,534788206731,50875369020,976525300831
212500,1599260802,534788206731,50875448395,976525300831
213125,1599264283,534788206731,50875527770,976525300831
213750,1599267763,534788206731,50875607145,976525300831
214375,1599271245,534788206731,50875686520,976525300831
215000,1599274726,534788206731,50875765895,976525300831
215625,1599278207,534788206731,50875845270,976525300831
216250,1599281686,534788206731,50875924645,976525300831
216875,1599285166,534788206731,50876004020,976525300831
217500,1599288649,534788206731,50876083395,976525300831
218125,1599292131,534788206731,50876162770,976525300831
218750,1599295671,534788206731,50876242145,976525300831
219375,1599299185,534788206731,50876321520,976525300831
220000,1599302693,534788206731,50876400895,976525300831
220625,1599306192,534788206731,50876480270,976525300831
221250,1599309685,534788206731,50876559645,976525300831
221875,1599313176,534788206731,50876639020,976525300831
222500,1599316672,534788206731,50876718395,976525300831
223125,1599320178,534788206731,50876797282,976525300831
223750,1599323677,534788206731,50876871538,976525300831
224375,1599327172,534788206731,50876945913,976525300831
225000,1599330656,534788206731,50877020288,976525300831
225625,1599334139,534788206731,50877095385,976525300831
226250,1599337637,534788206731,50877168510,976525300831
226875,1599341132,534788206731,50877241040,976525300831
227500,1599344623,534788206731,50877312915,976525300831
228125,1599348114,534788206731,50877384790,976525300831
228750,1599351606,534788206731,50877456665,976525300831
229375,1599355097,534788206731,50877528540,976525300831
230000,1599358588,534788206731,50877600415,976525300831
230625,1599362079,534788206731,50877685784,976525300831
231250,1599365586,534788206731,50878405890,976525300831
231875,1599369094,534788206731,50879125890,976525300831
232500,1599372607,534788206731,50879845890,976525300831
233125,1599376116,534788206731,50880406473,976525300831
233750,1599379620,534788206731,50880991461,976525300831
234375,1599383123,534788206731,50881578422,976525300831
235000,1599386617,534788206731,50882161842,976525300831
235625,1599390109,534788206731,50882745202,976525300831
236250,1599393602,534788206731,50883325214,976525300831
236875,1599397095,534788206731,50883899570,976525300831
237500,1599400587,534788206731,50884493005,976525300831
238125,1599404082,534788206731,50885081145,976525300831
238750,1599407574,534788206731,50885674242,976525300831
239375,1599411110,534788206731,50885941528,976525300831
240000,1599414636,534788206731,50885990790,976525300831
240625,1599418136,534788206731,49286064756,1008225300831
241250,1599421641,534788206731,49186064756,1010270960808
241875,1599425140,534788206731,49086064756,1012324938832
242500,1599428633,534788206731,45708681538,1087124938832
243125,1599432132,1429822468407,117935591630,2782447867215
243750,1599435632,1429822468407,117935684692,2782447867215
244375,1599439131,1429822468407,117935776757,2782447867215
245000,1599442628,1429822468407,117935878294,2782447867215
245625,1599446117,1429822468407,117936101350,2782447867215
246250,1599449604,1429822468407,117936339255,2782447867215
246875,1599453091,1429822468407,117936561961,2782447867215
247500,1599456580,1429822468407,117936779356,2782447867215
248125,1599460067,1429822468407,117937832928,2782447867215
248750,1599463555,1429822468407,117939909283,2782447867215
249375,1599467055,1429822468407,117942441466,2782447867215
250000,1599470538,1429822468407,117945386331,2782447867215
250625,1599474019,1429822468407,117948379199,2782447867215
251250,1599477507,1429822468407,117951313853,2782447867215
251875,1599481009,1429822468407,117955099200,2782447867215
252500,1599484515,1429822468407,117958861435,2782447867215
253125,1599488025,1429822468407,117962657627,2782447867215
253750,1599491526,1429822468407,117966539444,2782447867215
254375,1599495027,1429822468407,117970350559,2782447867215
255000,1599498530,1429822468407,117974124058,2782447867215
255625,1599502030,1429822468407,117978279087,2782447867215
256250,1599505535,1429822468407,117983864495,2782447867215
256875,1599509037,1429822468407,117989782379,2782447867215
257500,1599512538,1429822468407,117995639882,2782447867215
258125,1599516039,1429822468407,118001450984,2782447867215
258750,1599519532,1429822468407,118007507818,2782447867215
259375,1599523026,1429822468407,118013451075,2782447867215
260000,1599526517,1429822468407,118019437313,2782447867215
260625,1599530010,1429822468407,118025413487,2782447867215
261250,1599533501,1429822468407,118031381245,2782447867215
261875,1599536990,1429822468407,118037369188,2782447867215
262500,1599540479,1429822468407,118043369555,2782447867215
263125,1599543971,1429822468407,118051762036,2782447867215
263750,1599547463,1429822468407,118063091178,2782447867215
264375,1599550957,1429822468407,118074498826,2782447867215
265000,1599554453,1429822468407,118085445601,2782447867215
265625,1599557943,1429822468407,118096893691,2782447867215
266250,1599561438,1429822468407,118108188042,2782447867215
266875,1599564936,1429822468407,118119411596,2782447867215
267500,1599568429,1429822468407,118130727196,2782447867215
268125,1599571941,1792572720026,147437568515,3482447867215
268750,1599575443,2422918993542,191894811351,4845859691026
269375,1599578950,2422918993542,191901740959,4845859691026
270000,1599582437,2422918993542,191908379462,4845859691026
270625,1599585921,2422918993542,191915236348,4845859691026
271250,1599589404,2422918993542,191921972703,4845859691026
271875,1599592887,2422918993542,191928806078,4845859691026
272500,1599596369,2422918993542,191935590096,4845859691026
273125,1599599851,2422918993542,191942434707,4845859691026
273750,1599603334,2422918993542,191949339752,4845859691026
274375,1599606817,2422918993542,191956022722,4845859691026
275000,1599610298,2422918993542,191962849822,4845859691026
275625,1599613778,2422918993542,191969763967,4845859691026
276250,1599617260,2422918993542,191976655159,4845859691026
276875,1599620742,2422918993542,191983230925,4845859691026
277500,1599624226,2422918993542,191989849399,4845859691026
278125,1599627707,2422918993542,191996720619,4845859691026
278750,1599631190,2422918993542,192003510903,4845859691026
279375,1599634671,2422918993542,192010464541,4845859691026
280000,1599638153,2422918993542,192017316667,4845859691026
280625,1599641634,2422918993542,192024040104,4845859691026
281250,1599645117,2422918993542,192030817045,4845859691026
281875,1599648599,2422918993542,192037629415,4845859691026
282500,1599652082,2422918993542,192044430070,4845859691026
283125,1599655565,2422918993542,192051192736,4845859691026
283750,1599659045,2422918993542,192057961301,4845859691026
284375,1599662535,2422918993542,192064458475,4845859691026
285000,1599666024,2422918993542,192072005572,4845859691026
285625,1599669531,2422918993542,197013491002,4725969186361
286250,1599673041,2422918993542,197019300794,4725969186361
286875,1599676536,2422918993542,197025432764,4725969186361
287500,1599680044,2422918993542,197031576698,4725969186361
288125,1599683535,2422918993542,197037536657,4725969186361
288750,1599687034,2422918993542,197043068970,4725969186361
289375,1599690521,2422918993542,197049296556,4725969186361
290000,1599694008,2422918993542,197055513518,4725969186361
290625,1599697498,2422918993542,197061741473,4725969186361
291250,1599700986,2422918993542,197067907304,4725969186361
291875,1599704478,2422918993542,197074023887,4725969186361
292500,1599707967,2422918993542,197080150587,4725969186361
293125,1599711459,2422918993542,197086244574,4725969186361
293750,1599714971,10419075686001,837332522938,20078053672662
294375,1599718467,11890307831888,955152771056,22902718401767
295000,1599721965,11890307831888,955176053015,22902718401767
295625,1599725466,11890307831888,955199601086,22902718401767
296250,1599728956,11890307831888,955225173968,22902718401767
296875,1599732445,11890307831888,955251310989,22902718401767
297500,1599735936,11890307831888,955281731461,22902718401767
298125,1599739425,11890307831888,955315407728,22902718401767
298750,1599742919,11890307831888,955347893128,22902718401767
299375,1599746408,11890307831888,955381398238,22902718401767
300000,1599749896,11890307831888,955414607021,22902718401767
300625,1599753385,11890307831888,955447176450,22902718401767
301250,1599756877,11890307831888,955483425634,22902718401767
301875,1599760367,11890307831888,955549516002,22902718401767
302500,1599763866,11890307831888,955611860099,22902718401767
303125,1599767370,11890307831888,960013224872,22800064825552
303750,1599770859,11775651168056,952547362158,22540364160100
304375,1599774348,11775651168056,952615460178,22540364160100
305000,1599777834,11775651168056,952684748194,22540364160100
305625,1599781321,11775651168056,952753708317,22540364160100
306250,1599784809,11775651168056,952820269794,22540364160100
306875,1599788294,11775651168056,972493654703,22089271266187
307500,1599791775,11775651168056,972563938603,22089271266187
308125,1599795256,11775651168056,972634424671,22089271266187
308750,1599798736,11775651168056,972704838026,22089271266187
