block_number,timestamp,pool_units,balance_rune,balance_asset
550000,1601174270,366200000000,366200019570,1302053165475
550625,1601177821,366200000000,366212247977,1302053165475
551250,1601181395,366200000000,366224380179,1302053165475
551875,1601184987,366200000000,366236414153,1302053165475
552500,1601188592,366200000000,366249869273,1302053165475
553125,1601192159,366200000000,366265515493,1302053165475
553750,1601195727,366200000000,366280828360,1302053165475
554375,1601199291,366200000000,366306429423,1302053165475
555000,1601202855,366200000000,366336947958,1302053165475
555625,1601206443,366200000000,349468165485,1366053165475
556250,1601210013,366200000000,349497377158,1366053165475
556875,1601213589,366200000000,336955282673,1417853165475
557500,1601217160,366200000000,336980471701,1417853165475
558125,1601220742,366200000000,337003164612,1417853165475
558750,1601224307,366200000000,337024334473,1417853165475
559375,1601227886,366200000000,337045117542,1417853165475
560000,1601231461,457903884628,421474226216,1772912904529
560625,1601235034,457903884628,421501307318,1772912904529
561250,1601238604,457903884628,421528116814,1772912904529
561875,1601242171,459969532837,421494544610,1789411405901
562500,1601245734,459969532837,421521920833,1789411405901
563125,1601249300,459969532837,421549727882,1789411405901
563750,1601252869,459969532837,421577038895,1789411405901
564375,1601256473,459969532837,421600755153,1789411405901
565000,1601260054,459969532837,421629501574,1789411405901
565625,1601263627,459969532837,421659424666,1789411405901
566250,1601267229,459969532837,421687755823,1789411405901
566875,1601270850,459969532837,421716797280,1789411405901
567500,1601274455,459969532837,421742985307,1789411405901
568125,1601278058,459969532837,421769339653,1789411405901
568750,1601281669,459969532837,421793992734,1789411405901
569375,1601285260,468930269032,430036704774,1824271217079
570000,1601288855,468930269032,430060839422,1824271217079
570625,1601292470,468930269032,430083364646,1824271217079
571250,1601296079,468930269032,416674084816,1883871217079
571875,1601299680,468930269032,416696386162,1883871217079
572500,1601303273,468930269032,416718951278,1883871217079
573125,1601306866,468930269032,416741689901,1883871217079
573750,1601310462,468930269032,416764269312,1883871217079
574375,1601314055,468930269032,416787077748,1883871217079
575000,1601317659,468930269032,416808769993,1883871217079
575625,1601321270,468930269032,416831300830,1883871217079
576250,1601324879,468930269032,416853641223,1883871217079
576875,1601328494,468930269032,416873660836,1883871217079
577500,1601332092,468930269032,416894756992,1883871217079
578125,1601335698,468930269032,416915124657,1883871217079
578750,1601339313,468930269032,416934813653,1883871217079
579375,1601342913,468930269032,416954615582,1883871217079
580000,1601346511,468930269032,416974299825,1883871217079
580625,1601350108,468930269032,416993736066,1883871217079
581250,1601353716,468930269032,417011579284,1883871217079
581875,1601357317,468930269032,417029616280,1883871217079
582500,1601360915,468930269032,417048382578,1883871217079
583125,1601364527,468930269032,417068276208,1883871217079
583750,1601368127,468930269032,417091911071,1883871217079
584375,1601371736,468930269032,417115537686,1883871217079
585000,1601375345,468930269032,417139378255,1883871217079
585625,1601378947,468930269032,417161495578,1883871217079
586250,1601382546,468930269032,417184718646,1883871217079
586875,1601386142,468930269032,417207817923,1883871217079
587500,1601389737,468930269032,417230564074,1883871217079
588125,1601393328,468930269032,417253658486,1883871217079
588750,1601396921,468930269032,417276808479,1883871217079
589375,1601400518,468930269032,417299795298,1883871217079
590000,1601404130,468930269032,417321728334,1883871217079
590625,1601407736,466916976616,415452028893,1876234458617
591250,1601411342,573005237210,559400934048,2218124492770
591875,1601414958,573005237210,559427763894,2218124492770
592500,1601418573,573005237210,559454922374,2218124492770
593125,1601422187,573005237210,559481824911,2218124492770
593750,1601425788,573005237210,559509467834,2218124492770
594375,1601429391,573005237210,559536543583,2218124492770
595000,1601432984,573005237210,559564332966,2218124492770
595625,1601436579,573005237210,559592287806,2218124492770
596250,1601440196,573005237210,559619492181,2218124492770
596875,1601443809,573005237210,559647380632,2218124492770
597500,1601447413,573005237210,559675593285,2218124492770
598125,1601451008,573005237210,559703460341,2218124492770
598750,1601454613,573005237210,559732121203,2218124492770
599375,1601458227,573005237210,559760160536,2218124492770
600000,1601461849,573005237210,559789307557,2218124492770
600625,1601465448,573005237210,559817803730,2218124492770
601250,1601469044,573005237210,559846759392,2218124492770
601875,1601472650,573005237210,559875287978,2218124492770
602500,1601476254,573005237210,559902585626,2218124492770
603125,1601479849,573005237210,559931113971,2218124492770
603750,1601483464,573005237210,559959918007,2218124492770
604375,1601487070,573005237210,559988128365,2218124492770
605000,1601490668,573005237210,560017998853,2218124492770
605625,1601494280,573005237210,560047307086,2218124492770
606250,1601497876,573005237210,560079206052,2218124492770
606875,1601501477,573005237210,560110898520,2218124492770
607500,1601505071,573005237210,560142595843,2218124492770
608125,1601508672,573005237210,560173566623,2218124492770
608750,1601512273,573005237210,560203729120,2218124492770
609375,1601515866,573005237210,560235234919,2218124492770
610000,1601519460,573005237210,560267972678,2218124492770
610625,1601523059,573005237210,560300085951,2218124492770
611250,1601526662,573005237210,560332444686,2218124492770
611875,1601530263,573005237210,560364244035,2218124492770
612500,1601533865,573005237210,560396706514,2218124492770
613125,1601537464,573005237210,560431030592,2218124492770
613750,1601541082,573005237210,560460999039,2218124492770
614375,1601544683,573005237210,560484038077,2218124492770
615000,1601548299,573005237210,560507392903,2218124492770
615625,1601551908,573005237210,560532890951,2218124492770
616250,1601555522,573005237210,560558806292,2218124492770
616875,1601559133,573005237210,560584939236,2218124492770
617500,1601562738,573005237210,560608893509,2218124492770
618125,1601566337,573005237210,560633044777,2218124492770
618750,1601569949,573005237210,560656677898,2218124492770
619375,1601573552,573005237210,560680481861,2218124492770
620000,1601577159,573005237210,560704300789,2218124492770
620625,1601580760,573005237210,560728501964,2218124492770
621250,1601584363,573005237210,560752468066,2218124492770
621875,1601587996,573005237210,560772272117,2218124492770
622500,1601591615,573005237210,560792158782,2218124492770
623125,1601595230,573005237210,560812384418,2218124492770
623750,1601598845,573005237210,560834083487,2218124492770
624375,1601602465,573005237210,560855312178,2218124492770
625000,1601606079,573005237210,560876899927,2218124492770
625625,1601609685,573005237210,560898322230,2218124492770
626250,1601613285,573005237210,560920682170,2218124492770
626875,1601616893,573005237210,560942491010,2218124492770
627500,1601620511,573005237210,560963073139,2218124492770
628125,1601624112,573005237210,560984540390,2218124492770
628750,1601627713,573005237210,561006022557,2218124492770
629375,1601631320,573005237210,561027180176,2218124492770
630000,1601634941,573005237210,561046344899,2218124492770
630625,1601638558,573005237210,561065338514,2218124492770
631250,1601642169,573005237210,561084588015,2218124492770
631875,1601645784,573005237210,561104702364,2218124492770
632500,1601649403,573005237210,561123854675,2218124492770
633125,1601653018,573005237210,561143549431,2218124492770
633750,1601656633,573005237210,580806570725,2143835973864
634375,1601660239,573005237210,580830837762,2143835973864
635000,1601663861,573005237210,580854617479,2143835973864
635625,1601667466,573005237210,580879523409,2143835973864
636250,1601671053,573005237210,580907372186,2143835973864
636875,1601674653,573005237210,580933362187,2143835973864
637500,1601678242,573005237210,580961341734,2143835973864
638125,1601681837,573005237210,580989144611,2143835973864
638750,1601685421,573005237210,581019407055,2143835973864
639375,1601688998,573005237210,581050073027,2143835973864
640000,1601692575,573005237210,581080643950,2143835973864
640625,1601696169,573005237210,581108415718,2143835973864
641250,1601699747,573005237210,581138297827,2143835973864
641875,1601703326,573005237210,581168303331,2143835973864
642500,1601706909,573005237210,581197691696,2143835973864
