block_number,timestamp,pool_units,balance_rune,balance_asset
173125,1599042230,26000000000,2000066143,50000000000
173750,1599045701,26000000000,1686397287,60000000000
174375,1599049181,4592643232756,374988323485,8851374863678
175000,1599052678,4664806432246,374006207787,9152879031505
175625,1599056153,4664806432246,373598969723,9162879031505
176250,1599059624,4664806432246,390017401588,8779006512071
176875,1599063094,4664806432246,390018858434,8779006512071
177500,1599066566,4664806432246,401343509363,8531573183147
178125,1599070038,4664806432246,400405994059,8551573183147
178750,1599073511,4664806432246,400407148735,8551573183147
179375,1599076982,4664806432246,400408392860,8551573183147
180000,1599080454,4664806432246,400413462934,8551573183147
180625,1599083927,4664806432246,400419272247,8551573183147
181250,1599087399,4664806432246,400426094576,8551573183147
181875,1599090871,4664806432246,400432801941,8551573183147
182500,1599094342,4664806432246,400439572918,8551573183147
183125,1599097815,4664806432246,380512675012,9001573183147
183750,1599101288,4664806432246,380519045497,9001573183147
184375,1599104760,4664806432246,380525496085,9001573183147
185000,1599108365,7083183978205,485396747120,15716498169617
185625,1599111932,7083183978205,544475944084,14011759590058
186250,1599115411,18162477510676,1686197608214,32031449989955
186875,1599118884,18162477510676,1686199102566,32031449989955
187500,1599122357,18162477510676,1587147742294,34031449989955
188125,1599125828,18162477510676,1587151010681,34031449989955
188750,1599129295,18202305031653,1588397197765,34157274077546
189375,1599132746,18208162651076,1555077662902,34912387861454
190000,1599136203,18208162651076,1555083596999,34912387861454
190625,1599139651,18208162651076,1555088936653,34912387861454
191250,1599143099,18208162651076,1555094057614,34912387861454
191875,1599146546,18208162651076,1555099127856,34912387861454
192500,1599149993,18208162651076,1555104422158,34912387861454
193125,1599153440,18208162651076,1555110448477,34912387861454
193750,1599156889,18208162651076,1555114928305,34912387861454
194375,1599160339,18208162651076,1555118365164,34912387861454
195000,1599163788,18182103530454,1550675044606,34912387861454
195625,1599167235,18182103530454,1550680111001,34912387861454
196250,1599170685,18182103530454,1550684414826,34912387861454
196875,1599174133,18182103530454,1550688548928,34912387861454
197500,1599177581,18182103530454,1550694910247,34912387861454
198125,1599181028,18182103530454,1550703538395,34912387861454
198750,1599184475,18182103530454,1550712080207,34912387861454
199375,1599187926,18182103530454,1550725204303,34912387861454
200000,1599191375,18182103530454,1550740856885,34912387861454
200625,1599194822,18182103530454,1550756299832,34912387861454
201250,1599198270,18182103530454,1550770222464,34912387861454
201875,1599201718,18182103530454,1550784168976,34912387861454
202500,1599205166,18182103530454,1550797590947,34912387861454
203125,1599208616,18182103530454,1550807000551,34912387861454
203750,1599212063,18182103530454,1555698437535,34802785160117
204375,1599215512,18182103530454,1555706349738,34802785160117
205000,1599218972,18182103530454,1555724240019,34802785160117
205625,1599222458,18182103530454,1578034474509,34311748003516
206250,1599225940,18182323969289,1578082273545,34311779197228
206875,1599229425,18182323969289,1578092170815,34311779197228
207500,1599232903,18182323969289,1578105562682,34311779197228
208125,1599236381,18182323969289,1578120001056,34311779197228
208750,1599239861,18182323969289,1578133784447,34311779197228
209375,1599243348,18182323969289,1578143219841,34311779197228
210000,1599246838,18182323969289,1578151154464,34311779197228
210625,1599250338,18182323969289,1578154508109,34311779197228
211250,1599253829,18182323969289,1555897675687,34802779197228
211875,1599257318,18182323969289,1555900056213,34802779197228
212500,1599260802,18130194366283,1551341636652,34705234769402
213125,1599264283,18130194366283,1551344057464,34705234769402
213750,1599267763,18130194366283,1551346478089,34705234769402
214375,1599271245,18130194366283,1551348898646,34705234769402
215000,1599274726,18130194366283,1551351318646,34705234769402
215625,1599278207,18130194366283,1551353738646,34705234769402
216250,1599281686,18130194366283,1551356158362,34705234769402
216875,1599285166,18130194366283,1551358577737,34705234769402
217500,1599288649,18130194366283,1551360997112,34705234769402
218125,1599292131,18130194366283,1551363415949,34705234769402
218750,1599295671,18130194366283,1551365834699,34705234769402
219375,1599299185,18130194366283,1551368253440,34705234769402
220000,1599302693,18130194366283,1551370671565,34705234769402
220625,1599306192,18130194366283,1551373089690,34705234769402
221250,1599309685,18130194366283,1551375507574,34705234769402
221875,1599313176,18130194366283,1551377925074,34705234769402
222500,1599316672,18130194366283,1551380342574,34705234769402
223125,1599320178,18130194366283,1551382745975,34705234769402
223750,1599323677,18130194366283,1551385019207,34705234769402
224375,1599327172,18130194366283,1551387296082,34705234769402
225000,1599330656,18130194366283,1551389572957,34705234769402
225625,1599334139,18130194366283,1551391862186,34705234769402
226250,1599337637,18130194366283,1551394098436,34705234769402
226875,1599341132,18130194366283,1551396316332,34705234769402
227500,1599344623,18130194366283,1551398513832,34705234769402
228125,1599348114,18130194366283,1551400711332,34705234769402
228750,1599351606,18130194366283,1551402908676,34705234769402
229375,1599355097,18130194366283,1551405105551,34705234769402
230000,1599358588,18130194366283,1551407302426,34705234769402
230625,1599362079,18130194366283,1551409910243,34705234769402
231250,1599365586,18130194366283,1551431873961,34705234769402
231875,1599369094,18130194366283,1551453835518,34705234769402
232500,1599372607,18130194366283,1551475794893,34705234769402
233125,1599376116,18130194366283,1552393616026,34685128541954
233750,1599379620,18130194366283,1552411459094,34685128541954
234375,1599383123,18130194366283,1552429370959,34685128541954
235000,1599386617,18130194366283,1552447175073,34685128541954
235625,1599390109,17715754946400,1534971369536,33495758715477
236250,1599393602,17715754946400,1534988865320,33495758715477
236875,1599397095,17715754946400,1535006193914,33495758715477
237500,1599400587,17715754946400,1535024097769,33495758715477
238125,1599404082,17715754946400,1535240711567,33491419856745
238750,1599407574,17715754946400,2035259097538,33491419856745
239375,1599411110,18505067508990,2159951477066,34452829775477
240000,1599414636,18673259363310,1936325639452,39131651761297
240625,1599418136,18920844137893,1961926008259,39557966382047
241250,1599421641,21141904280779,2234191837385,43996101525601
241875,1599425140,21141904280779,2184343853696,45000117601664
242500,1599428633,21141904280779,2185819705252,44969733849414
243125,1599432132,26325451459439,2663905645247,54892056786885
243750,1599435632,26325451459439,2663907746401,54892056786885
244375,1599439131,26379508579204,2663258147336,55112504718798
245000,1599442628,26386302437436,2663487717508,55133721718806
245625,1599446117,26386302437436,2663492753690,55133721718806
246250,1599449604,26386302437436,2663498125029,55133721718806
246875,1599453091,26386302437436,2663503154222,55133721718806
247500,1599456580,26386302437436,2663508062897,55133721718806
248125,1599460067,26386302437436,2663531858660,55133721718806
248750,1599463555,26386302437436,2663578752193,55133721718806
249375,1599467055,26386302437436,2663635940681,55133721718806
250000,1599470538,26386302437436,2663702448645,55133721718806
250625,1599474019,26386302437436,2663770039865,55133721718806
251250,1599477507,26386302437436,2663836316928,55133721718806
251875,1599481009,26386302437436,2663921806386,55133721718806
252500,1599484515,26386302437436,2664006771608,55133721718806
253125,1599488025,26386302437436,2584749584098,56831021718806
253750,1599491526,26386302437436,2580302810859,56931021718806
254375,1599495027,26386302437436,2580386171616,56931021718806
255000,1599498530,26386302437436,2575952480999,57031021718806
255625,1599502030,26386302437436,2576043204967,57031021718806
256250,1599505535,26386302437436,2576165161230,57031021718806
256875,1599509037,26386302437436,2576294376480,57031021718806
257500,1599512538,26300271039486,2559671061178,57031021718806
258125,1599516039,26300271039486,2559797121255,57031021718806
258750,1599519532,26131619303475,2543412850116,56667535425124
259375,1599523026,26131619303475,2534619879649,56867535425124
260000,1599526517,26131619303475,2534748449560,56867535425124
260625,1599530010,26131619303475,2534876805047,56867535425124
261250,1599533501,26131619303475,2535004976578,56867535425124
261875,1599536990,26131619303475,2535133581581,56867535425124
262500,1599540479,26131619303475,2535262453048,56867535425124
263125,1599543971,26131619303475,2535442702634,56867535425124
263750,1599547463,26131619303475,2535686021937,56867535425124
264375,1599550957,26131619303475,2450538143198,58867535425124
265000,1599554453,26131619303475,2450765334899,58867535425124
265625,1599557943,26131619303475,2451002930111,58867535425124
266250,1599561438,26276811514063,2470658842126,58960878469257
